StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205778876\ProjectBase\ConsumptionTax.java,"シンボルを見つけられません","y",変数,,,,,,,1386205778876,1386205842299,0:00:15,true,4,4,15,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205778876\ProjectBase\ConsumptionTax.java,"シンボルを見つけられません","y",変数,,,,,,,1386205778876,1386205842299,0:00:15,true,4,4,15,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205778876\ProjectBase\ConsumptionTax.java,"シンボルを見つけられません","getWithTax",変数,,,,,,,1386205778876,1386205842299,0:00:15,true,4,4,15,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205842299\ProjectBase\ConsumptionTax.java,"';'がありません",,,,,,,,,1386205842299,1386205848321,0:00:06,true,1,1,6,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205848321\ProjectBase\ConsumptionTax.java,"シンボルを見つけられません","getWithTax",変数,,,,,,,1386205848321,1386205879559,0:00:15,true,2,2,15,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205848321\ProjectBase\ConsumptionTax.java,"シンボルを見つけられません","getWithTax",変数,,,,,,,1386205848321,1386205879559,0:00:15,true,2,2,15,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205879559\ProjectBase\ConsumptionTax.java,"精度が低下している可能性",,,,,,,,,1386205879559,1386206021068,0:02:21,true,1,1,141,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386206262748\ProjectBase\ConsumptionTax.java,"変数AはすでにメソッドBで定義されています",,,"z",変数,"getWithTax(int)",メソッド,,,1386206262748,1386206269943,0:00:07,true,1,1,7,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386206608521\ProjectBase\ConsumptionTax.java,"';'がありません",,,,,,,,,1386206608521,1386206639006,0:00:15,true,2,2,15,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386206608521\ProjectBase\ConsumptionTax.java,"';'がありません",,,,,,,,,1386206608521,1386206639006,0:00:15,true,2,2,15,false
