StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236273137\ProjectBase\Coin.java,return文が指定されていません,,,,,,,,,1.38624E+12,1.38624E+12,0:00:11,TRUE,1,1,11,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236284424\ProjectBase\Coin.java,';'がありません,,,,,,,,,1.38624E+12,1.38624E+12,0:00:38,TRUE,2,2,38,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236284424\ProjectBase\Coin.java,構文解析中にファイルの終わりに移りました,,,,,,,,,1.38624E+12,1.38624E+12,0:00:38,TRUE,2,2,38,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236415798\ProjectBase\Coin.java,シンボルを見つけられません,simlate(int),メソッド,,,,,,,1.38624E+12,1.38624E+12,0:00:05,TRUE,1,1,5,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205778876\ProjectBase\ConsumptionTax.java,シンボルを見つけられません,y,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:15,TRUE,4,4,15,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205778876\ProjectBase\ConsumptionTax.java,シンボルを見つけられません,y,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:15,TRUE,4,4,15,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205778876\ProjectBase\ConsumptionTax.java,シンボルを見つけられません,y,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:15,TRUE,4,4,15,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205778876\ProjectBase\ConsumptionTax.java,シンボルを見つけられません,getWithTax,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:15,TRUE,4,4,15,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205842299\ProjectBase\ConsumptionTax.java,';'がありません,,,,,,,,,1.38621E+12,1.38621E+12,0:00:06,TRUE,1,1,6,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205848321\ProjectBase\ConsumptionTax.java,シンボルを見つけられません,getWithTax,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:15,TRUE,2,2,15,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205848321\ProjectBase\ConsumptionTax.java,シンボルを見つけられません,getWithTax,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:15,TRUE,2,2,15,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386205879559\ProjectBase\ConsumptionTax.java,精度が低下している可能性,,,,,,,,,1.38621E+12,1.38621E+12,0:02:21,TRUE,1,1,141,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386206262748\ProjectBase\ConsumptionTax.java,変数AはすでにメソッドBで定義されています,,,z,変数,getWithTax(int),メソッド,,,1.38621E+12,1.38621E+12,0:00:07,TRUE,1,1,7,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386206608521\ProjectBase\ConsumptionTax.java,';'がありません,,,,,,,,,1.38621E+12,1.38621E+12,0:00:15,TRUE,2,2,15,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386206608521\ProjectBase\ConsumptionTax.java,';'がありません,,,,,,,,,1.38621E+12,1.38621E+12,0:00:15,TRUE,2,2,15,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386206639006\ProjectBase\ConsumptionTax.java,class、interfaceまたはenumがありません,,,,,,,,,1.38621E+12,1.38621E+12,0:00:09,TRUE,1,1,9,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386208862118\ProjectBase\ConsumptionTax.java,シンボルを見つけられません,test(int),メソッド,,,,,,,1.38621E+12,1.38621E+12,0:00:07,TRUE,1,1,7,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236963243\ProjectBase\CopyOfCoin.java,変数AはすでにメソッドBで定義されています,,,z,変数,test(int),メソッド,,,1.38624E+12,1.38624E+12,0:00:21,TRUE,1,1,21,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386232836597\ProjectBase\CopyOfJanken.java,class、interfaceまたはenumがありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:11,FALSE,4,6,11,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386232836597\ProjectBase\CopyOfJanken.java,class、interfaceまたはenumがありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:11,FALSE,4,6,11,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386232836597\ProjectBase\CopyOfJanken.java,class、interfaceまたはenumがありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:11,FALSE,4,6,11,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386232836597\ProjectBase\Coin.java,';'がありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:00,FALSE,4,0,0,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386232869736\ProjectBase\CopyOfJanken.java,class、interfaceまたはenumがありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:00,FALSE,7,6,0,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386232869736\ProjectBase\CopyOfJanken.java,class、interfaceまたはenumがありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:00,FALSE,7,6,0,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386232869736\ProjectBase\CopyOfJanken.java,class、interfaceまたはenumがありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:00,FALSE,7,6,0,FALSE
